name_th,name_en,price,category,image,desc_th
"","",0,,"",""
"Matcha frappe","Matcha Frappe",0,000"," majedo_drink ","https://placehold.co/100x100/22c55e/ffffff?text=Matcha+Frappe"
"Black orange ice","Black Orange (Iced)",0,000"," majedo_drink ","https://placehold.co/100x100/f97316/ffffff?text=Orange"
"ໝີ່ໄວໄວ","Instant Noodles (Wai Wai Brand)",0,000"," noodle ","https://placehold.co/100x100/ff6347/ffffff?text=Wai+Wai"
"ຜັດຂິ້ເມົາ","Drunken Stir-fry",0,000"," main ","https://placehold.co/100x100/deb887/ffffff?text=Pad+Kee+Mao"
"Thai tea frappe","Thai Tea Frappe",0,000"," majedo_drink ","https://placehold.co/100x100/f97316/ffffff?text=Thai+Tea+Frappe"
"ເຝີ ລູກຊິ້ນ","Pho with Meatballs",0,000"," noodle ","https://placehold.co/100x100/a16207/ffffff?text=Pho"
"Macchiato frappe","Macchiato Frappe",0,000"," majedo_drink ","https://placehold.co/100x100/6f4e37/ffffff?text=Mac+Frappe"
"Strawberry frappe","Strawberry Frappe",0,000"," majedo_drink ","https://placehold.co/100x100/FF6347/ffffff?text=Strawberry"
"ໃນຕາເວັນ","Tawan Snack (Sunflower Seed Snack)",0,000"," appetizer ","https://placehold.co/100x100/ffd700/000000?text=Tawan"
"Lemon green tea ice","Iced Lemon Green Tea",0,000"," majedo_drink ","https://placehold.co/100x100/d2b48c/ffffff?text=Iced Lemon Green Tea"
"Milk hot&ice","Milk (Hot/Iced)",0,000"," majedo_drink ","https://placehold.co/100x100/f0e68c/ffffff?text=Milk"
"ຫົວເສືອ ນ້ອຍ","Small Tiger Head (M-150)",0,000"," drink ","https://placehold.co/100x100/22c55e/ffffff?text=Water"
"ເປບຊີ","Pepsi",0,000"," drink ","https://placehold.co/100x100/22c55e/ffffff?text=Pepsi"
"ລູກຊີ້ນ 6 ລູກ","6 Meatballs",0,000"," others ","https://placehold.co/100x100/a16207/ffffff?text=Meatballs"
"ເຂົ້າໄຂ່ຈຽວ","Rice with Omelette",0,000"," main ","https://placehold.co/100x100/eab308/ffffff?text=Omelette"
"ຂະໜົມເລ","Lay's Chips",0,000"," appetizer ","https://placehold.co/100x100/ffd700/000000?text=Lay"
"Cocoa hot&ice","Cocoa (Hot/Iced)",0,000"," majedo_drink ","https://placehold.co/100x100/7b3f00/ffffff?text=Cocoa"
"ລ້ອນ ຊີ້ນສົດ","Blanched Fresh Meat",0,000"," noodle ","https://placehold.co/100x100/a16207/ffffff?text=Hot+Pot"
"","",0,,"",""
"","",0,,"",""
"ເຝີ ຊີ້ນສົດທຳມະດາ","Pho with Fresh Meat (Regular)",0,000"," noodle ","https://placehold.co/100x100/a16207/ffffff?text=Pho"
"ເຝີລວມ","Combination Pho",0,000"," noodle ","https://placehold.co/100x100/a16207/ffffff?text=Pho"
"ເຝີ ຊີ້ນເປື່ອຍ","Pho with Braised Meat",0,000"," noodle ","https://placehold.co/100x100/a16207/ffffff?text=Pho"
